Descripción,Año,Exportaciones,Importaciones
Aceites,2014,102057.01,24.509999999999998
Aceites,2020,125189.44000000002,96.12
Bebidas,2014,978623.8099999998,4577.59
Bebidas,2020,1246617.94,52023.810000000005
Cereales y harinas,2014,2516.26,980.54
Cereales y harinas,2020,5162.05,849.9800000000001
Chocolates,2014,21755.53,9.96
Chocolates,2020,27863.35,37612.0
Frutas y frutos secos,2014,69109.34,4705.89
Frutas y frutos secos,2020,84297.51000000001,1311.75
"Huevos, productos lácteos y miel",2014,120155.73999999999,6655.78
"Huevos, productos lácteos y miel",2020,205170.16,5053.03
Panaderia y pastelería,2014,103958.75,3075.16
Panaderia y pastelería,2020,150387.33,4762.42
Pescados y mariscos,2014,18696.26,35522.47
Pescados y mariscos,2020,53849.630000000005,63031.32
Productos cárnicos,2014,60022.689999999995,21073.930000000004
Productos cárnicos,2020,191583.02,20581.970000000005
Verduras y hortalizas,2014,10625.64,64.75999999999999
Verduras y hortalizas,2020,16181.8,120.78000000000002
